##Letter: x,y,w,h
 : 0,0,2,0
:: 65,20,1,7
.: 67,20,1,7
0: 1,20,5,7
1: 8,20,3,7
2: 12,20,5,7
3: 18,20,5,7
4: 24,20,6,7
5: 31,20,5,7
6: 37,20,5,7
7: 43,20,5,7
8: 49,20,5,7
9: 55,20,5,7
a: 1,1,4,7
b: 7,1,4,7
c: 13,1,4,7 
d: 19,1,4,7
e: 25,1,4,7
f: 30,1,3,7
g: 34,1,4,9
h: 40,1,4,7
i: 46,1,1,7
j: 48,1,2,9
k: 51,1,4,7
l: 56,1,1,7
m: 59,1,7,7
n: 68,1,4,7
o: 74,1,4,7
p: 80,1,4,9
q: 86,1,4,9
r: 92,1,2,7
s: 95,1,4,7
t: 100,1,3,7
u: 104,1,4,7
v: 109,1,5,7
w: 115,1,7,7
x: 123,1,5,7
y: 129,1,5,9
z: 135,1,5,7
A: 1,11,7,7
B: 9,11,5,7
C: 16,11,5,7
D: 23,11,5,7
E: 30,11,5,7
F: 37,11,4,7
G: 43,11,6,7
H: 51,11,5,7
I: 58,11,1,7
J: 60,11,4,7
K: 66,11,6,7
L: 73,11,5,7
M: 79,11,7,7
N: 88,11,5,7
O: 95,11,6,7
P: 103,11,5,7
Q: 110,11,6,7
R: 118,11,5,7
S: 125,11,5,7
T: 132,11,5,7
U: 138,11,5,7
V: 144,11,7,7
W: 152,11,9,7
X: 161,11,7,7
Y: 168,11,7,7
Z: 175,11,6,7
